feature,importance_gain,importance_split
pos_sum_SK_DPD_SCALE,115.84255319833755,18.333333333333332
AMT_INCOME_OVER_CHILD,120.7298868139585,18.266666666666666
prev_refused_AMT_DIFF_CREAPP_MAX,135.98697645763554,18.133333333333333
bureau_active_sum_AMT_CREDIT_LEFT_OVER_ANNUITY,170.4296526670456,18.06666666666667
prev_recent_AMT_DIFF_CREAPP,124.11516826152801,17.93333333333333
pos_mean_SK_DPD_SCALE,140.39717404494684,17.733333333333334
inst_max_AMT_PAYMENT_DIFF,141.36728910605112,17.73333333333333
bureau_sum_MONTH_LAST_DPD,98.37703097661336,17.4
pos_mean_SK_DPD,116.61878455877304,17.333333333333332
bureau_active_avg_AMT_LIMIT_RATIO,120.73148903052012,17.2
prev_sum_CHANNEL_TYPE_Credit and cash offices,89.09226459860801,17.2
bureau_active_count,148.58420551617942,17.000000000000004
prev_recent_CNT_PAYMENT,116.68907610277333,17.0
inst_mean_AMT_PAYMENT_PERC,173.53197139898936,17.0
prev_refused_AMT_CREDIT_GOODS_PERC_MEAN,118.50696293214955,17.0
prev_max_DAYS_TOTAL2,212.38557034532232,16.866666666666667
bureau_sum_STATUS_TCNT_C,138.3426406701406,16.733333333333334
bureau_recent_DAYS_END_DIFF,130.0957786719004,16.733333333333334
bureau_active_sum_AMT_ANNUITY,127.96508347988132,16.666666666666664
AMT_INCOME_TOTAL,124.76305684248607,16.46666666666666
bureau_CREDIT_TYPE_mode_mean_encode,96.1433984943976,16.26666666666667
prev_refused_AMT_CREDIT_GOODS_PERC_MAX,108.01345091809829,15.933333333333334
bureau_active_AMT_LIMIT_TOTAL_RATIO,127.42217499067385,15.866666666666665
cc_mean4_AMT_DRAWING_BALANCE_RATIO,97.39995872875053,15.733333333333334
cc_mean4_AMT_PAY_USE_RATIO,115.63368519544602,15.666666666666668
bureau_recent_AMT_MAX_OVERDUE_RATIO,122.32351336280503,15.533333333333335
prev_active_sum_AMT_APPLICATION,112.86224957704545,15.333333333333334
cc_max_CNT_DRAWINGS_CURRENT,134.11614086031915,15.333333333333332
bureau_recent_CREDIT_ACTIVE_mean_encode,87.86720948219299,15.333333333333332
bureau_sum_AMT_ANNUITY,120.82847152948379,15.266666666666666
bureau_active_AMT_MAX_OVERDUE_TOTAL_RATIO,113.52724027285971,15.2
cc_mean4_AMT_BALANCE_CREDIT_RATIO,179.03556689421336,15.199999999999998
cc_mean_AMT_PAY_USE_RATIO,96.0614074446261,15.133333333333331
cc_mean_AMT_CREDIT_LIMIT_ACTUAL,90.03475519816081,14.8
prev_refused_APP_CREDIT_PERC_MAX,103.7449211915334,14.8
cc_mean4_AMT_DRAWING_ATM_RATIO,229.48693265120187,14.8
NONLIVINGAPARTMENTS_MODE,81.58487698634465,14.8
prev_recent_AMT_DOWN_PAYMENT,93.17196812729041,14.73333333333333
bureau_AMT_LIMIT_TOTAL_RATIO,107.80273861885071,14.6
prev_CODE_REJECT_REASON_mode_mean_encode,89.59749655524891,14.6
prev_sum_NAME_TYPE_SUITE_Unaccompanied,77.49330504806713,14.533333333333331
AMT_REQ_CREDIT_BUREAU_QRT,131.107510582606,14.466666666666669
prev_recent_RATE_DOWN_PAYMENT,84.22405079826713,14.4
inst_AMT_PAYMENT_TOTAL_RATIO,131.3648081302643,14.4
inst_N_NUM_INSTALMENT_VERSION,90.99977553288142,14.4
cc_max_AMT_DRAWING_BALANCE_RATIO,103.77825414178271,14.333333333333334
Total_acc,114.15025829871495,14.333333333333334
prev_refused_AMT_DIFF_CREAPP_MEAN,101.49430914322537,14.2
bureau_sum_STATUS_12CNT_X,120.8240417321523,14.066666666666666
prev_recent_CODE_REJECT_REASON_mean_encode,99.64711833198865,14.066666666666666
cc_var_AMT_BALANCE_CREDIT_RATIO,115.82906789705157,13.8
prev_refused_AMT_DIFF_CREDIT_GOODS_MEAN,88.77820730557045,13.733333333333334
cc_scale_sum_CNT_DRAWINGS_ATM_CURRENT,265.26257657706736,13.666666666666668
cc_var_CNT_DRAWINGS_CURRENT,117.94839672247568,13.6
cc_scale_sum_AMT_CREDIT_LIMIT_ACTUAL,85.3678114493688,13.533333333333335
cc_mean4_AMT_RECEIVABLE_PRINCIPAL_DIFF,233.37939902941383,13.466666666666669
prev_active_sum_AMT_CREDIT,93.65584004620709,13.333333333333334
cc_scale_mean_scale_sum_AMT_CREDIT_LIMIT_ACTUAL,84.75072820981342,13.266666666666666
prev_refused_AMT_DIFF_CREDIT_GOODS_MAX,93.80006613532703,13.133333333333335
